gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,id,name,year_range,name_year,failed_playoff_flag
80,28,46,0,62,38.8,3.238,4.275,16.7,56,335,72.7,27.0625,34.2875,0.567,0.22,0.727,0.767,0.529,0.306,0,0,0,0,12,0.875,10,Toronto Maple Leafs,19881989,Toronto Maple Leafs1989,1
80,41,29,0,92,57.5,3.813,3.238,21.8,96,441,79.8,31.175,27.55,0.596,0.357,0.714,0.861,0.592,0.345,0,0,0,0,12.2,0.882,15,Washington Capitals,19881989,Washington Capitals1989,0
80,27,41,0,66,41.3,3.713,4.188,21,91,434,74.6,32.8625,31.4125,0.513,0.171,0.4,0.6,0.415,0.25,0,0,0,0,11.3,0.867,16,Chicago Blackhawks,19881989,Chicago Blackhawks1989,0
80,34,34,0,80,50,3.913,3.95,20.7,73,352,81.5,28.6875,31.375,0.477,0.361,0.588,0.727,0.5,0.392,0,0,0,0,13.6,0.874,17,Detroit Red Wings,19881989,Detroit Red Wings1989,0
80,33,35,0,78,48.8,3.438,3.563,20.3,75,370,76.7,29.0875,28.0875,0.634,0.179,0.667,0.719,0.524,0.303,0,0,0,0,11.8,0.873,19,St. Louis Blues,19881989,St. Louis Blues1989,0
80,54,17,0,117,73.1,4.425,2.825,25.2,101,401,82.8,34.6375,25.7375,0.818,0.5,0.882,0.957,0.698,0.588,0,0,0,0,12.8,0.89,20,Calgary Flames,19881989,Calgary Flames1989,0
80,38,34,0,84,52.5,4.063,3.825,19.8,83,419,82.8,27.8125,30.4,0.595,0.372,0.857,0.848,0.469,0.432,0,0,0,0,14.6,0.874,22,Edmonton Oilers,19881989,Edmonton Oilers1989,0
80,33,39,0,74,46.3,3.138,3.163,19,78,410,80.8,30.5375,28.275,0.537,0.282,0.7,0.828,0.422,0.394,0,0,0,0,10.3,0.888,23,Vancouver Canucks,19881989,Vancouver Canucks1989,0
80,42,31,0,91,56.9,4.7,4.188,20.6,82,397,80.3,31.5625,33.7125,0.585,0.462,0.75,0.833,0.742,0.375,0,0,0,0,14.9,0.876,26,Los Angeles Kings,19881989,Los Angeles Kings1989,0
80,37,34,0,83,51.9,3.688,3.6,19,64,337,80.3,30.8,30.7125,0.522,0.382,0.656,0.778,0.459,0.45,0,0,0,0,12,0.883,1,New Jersey Devils,19891990,New Jersey Devils1990,0
80,31,38,0,73,45.6,3.513,3.6,23.6,78,330,76.5,29.4875,33.525,0.424,0.362,0.417,0.786,0.435,0.389,0,0,0,0,11.9,0.893,2,New York Islanders,19891990,New York Islanders1990,0
80,36,31,0,85,53.1,3.488,3.338,23.5,104,442,78.7,29.8125,30.0375,0.595,0.289,0.63,0.758,0.41,0.459,0,0,0,0,11.7,0.889,3,New York Rangers,19891990,New York Rangers1990,0
80,30,39,0,71,44.4,3.625,3.713,19.2,65,338,81,30.85,31.8,0.524,0.211,0.64,0.719,0.515,0.295,0,0,0,0,11.8,0.883,4,Philadelphia Flyers,19891990,Philadelphia Flyers1990,1
80,32,40,0,72,45,3.975,4.488,21.3,86,403,74.7,29,33.55,0.6,0.2,0.731,0.833,0.483,0.354,0,0,0,0,13.7,0.866,5,Pittsburgh Penguins,19891990,Pittsburgh Penguins1990,1
